timestamp,x,y,z
0,0.68,-6.7,-7.67
10,0.98,-6.55,-7.64
20,1.58,-6.68,-7.27
30,2.11,-6.86,-6.82
40,2.77,-6.87,-6.54
50,2.89,-6.65,-6.64
60,2.53,-6.17,-7.0
70,1.83,-5.69,-7.75
80,1.17,-5.34,-8.16
90,1.18,-5.18,-8.13
100,1.32,-4.91,-7.97
110,1.18,-4.43,-7.77
120,1.25,-3.71,-7.47
130,1.59,-3.0,-7.15
140,1.94,-2.64,-7.01
150,2.78,-2.68,-7.2
160,3.5,-2.83,-7.69
170,3.93,-2.76,-8.22
180,4.27,-2.41,-8.49
190,4.79,-2.24,-8.78
200,5.53,-2.11,-9.2
210,6.3,-2.31,-9.26
220,6.57,-2.6,-9.35
230,6.62,-2.86,-9.32
240,6.75,-2.99,-9.42
250,7.54,-3.27,-9.42
260,8.37,-3.68,-9.44
270,9.28,-4.07,-9.46
280,10.74,-4.07,-9.86
290,8.49,-4.59,-9.54
300,9.14,-4.83,-8.84
310,9.39,-5.12,-8.72
320,9.91,-5.36,-8.95
330,10.48,-5.47,-8.58
340,10.91,-5.47,-8.75
350,10.75,-5.42,-8.95
360,10.17,-5.25,-9.35
370,9.28,-4.83,-9.23
380,8.78,-4.42,-8.54
390,8.94,-4.36,-8.11
400,9.84,-4.21,-7.92
410,10.1,-3.94,-8.32
420,9.63,-3.8,-8.5
430,8.87,-3.2,-8.5
440,8.03,-2.8,-8.2
450,7.23,-2.83,-8.06
460,4.53,-1.95,-8.09
470,5.89,-2.34,-7.71
480,4.23,-1.2,-8.33
490,5.19,-0.39,-8.38
500,4.15,1.17,-8.95
510,3.02,2.87,-9.22
520,4.04,3.38,-9.14
530,3.48,4.04,-9.29
540,2.72,4.68,-9.35
550,3.68,4.67,-9.01
560,2.79,5.38,-9.31
570,2.95,5.75,-9.01
580,3.2,5.84,-8.58
590,3.18,5.83,-8.28
600,3.41,5.67,-7.94
610,4.14,5.34,-7.7
620,4.9,4.92,-7.54
630,5.42,4.58,-7.19
640,5.7,4.58,-6.88
650,5.85,4.58,-6.67
660,6.06,4.4,-6.47
670,6.2,4.05,-6.39
680,6.13,3.73,-6.6
690,5.78,3.58,-7.01
700,5.43,3.56,-7.51
710,5.22,3.54,-7.93
720,5.16,3.51,-8.2
730,5.15,3.47,-8.31
740,5.2,3.42,-8.46
750,5.29,3.46,-8.45
760,5.44,3.49,-8.44
770,5.71,3.51,-8.36
780,5.9,3.51,-8.27
790,6.11,3.47,-8.31
800,6.21,3.53,-8.36
810,6.34,3.62,-8.34
820,6.49,3.9,-8.4
830,6.51,3.98,-8.49
840,6.62,3.96,-8.6
850,6.9,3.88,-8.64
860,6.8,3.82,-8.67
870,6.53,3.89,-8.7
880,6.39,4.03,-8.66
890,6.41,4.13,-8.57
900,6.55,4.23,-8.48
910,6.54,4.27,-8.52
920,6.35,4.14,-8.62
930,6.06,4.08,-8.8
940,5.96,4.06,-8.95
950,5.93,4.02,-9.05
960,5.97,3.92,-9.17
970,6.01,3.8,-9.17
980,6.03,3.62,-9.09
990,6.09,3.5,-9.0
1000,5.8,3.31,-8.89
