timestamp,x,y,z
0,-0.25,-0.09,-10.7
10,-0.48,-0.29,-10.27
20,-1.1,-0.61,-10.54
30,-0.84,-0.58,-10.77
40,-0.26,-0.29,-10.66
50,-0.27,-0.28,-10.64
60,-0.34,-0.28,-10.65
70,-0.45,-0.25,-10.64
80,-0.42,-0.37,-10.33
90,-0.25,-0.41,-10.34
100,-0.24,-0.42,-10.5
110,-0.46,-0.44,-10.55
120,-0.54,-0.37,-10.72
130,-0.53,-0.4,-10.69
140,-0.45,-0.47,-10.58
150,-0.34,-0.5,-10.46
160,-0.24,-0.46,-10.34
170,-0.17,-0.47,-10.4
180,-0.21,-0.47,-10.48
190,-0.37,-0.42,-10.65
200,-0.61,-0.44,-10.6
210,-0.76,-0.38,-10.91
220,-0.73,-0.28,-10.7
230,-0.98,-0.21,-10.24
240,-1.13,-0.28,-10.48
250,-0.8,-0.39,-10.63
260,-0.59,-0.35,-10.59
270,-0.57,-0.29,-10.77
280,-0.69,-0.25,-10.71
290,-0.88,-0.23,-10.66
300,-1.04,-0.23,-10.5
310,-1.13,-0.23,-10.45
320,-1.13,-0.24,-10.4
330,-1.15,-0.25,-10.44
340,-1.19,-0.3,-10.47
350,-1.22,-0.34,-10.37
360,-1.17,-0.36,-10.5
370,-0.96,-0.33,-10.55
380,-0.89,-0.21,-10.55
390,-1.02,-0.17,-10.47
400,-1.23,-0.14,-10.52
410,-1.32,-0.05,-10.67
420,-1.41,0.04,-10.72
430,-1.29,0.01,-10.6
440,-1.04,-0.02,-10.78
450,-0.78,-0.04,-11.24
460,-0.65,0.02,-11.37
470,-0.54,0.1,-11.06
480,-0.52,0.28,-10.86
490,-0.46,0.32,-10.68
500,-0.59,0.25,-10.38
510,-0.67,0.15,-10.26
520,-0.63,0.02,-10.07
530,-0.52,-0.13,-10.18
540,-0.29,-0.27,-10.38
550,-0.07,-0.43,-10.54
560,-0.03,-0.52,-10.48
570,-0.06,-0.62,-10.33
580,-0.03,-0.65,-10.24
590,-0.14,-0.65,-10.04
600,-0.38,-0.74,-9.72
610,-0.5,-0.87,-9.74
620,-0.49,-0.95,-9.77
630,-0.37,-0.95,-9.97
640,-0.23,-0.96,-10.35
650,-0.18,-0.88,-10.92
660,-0.1,-0.62,-11.32
670,0.11,-0.52,-11.88
680,0.0,-0.96,-11.59
690,-0.11,-1.09,-11.21
700,-0.2,-1.07,-10.42
710,0.09,-0.8,-10.29
720,-0.18,-1.27,-9.79
730,0.08,-1.18,-9.83
740,0.3,-0.77,-9.76
750,0.37,-1.28,-10.05
760,0.3,-1.47,-10.09
770,0.29,-1.42,-10.55
780,0.29,-1.31,-10.64
790,0.08,-1.28,-10.64
800,0.25,-1.51,-10.38
810,0.35,-1.55,-10.07
820,0.45,-1.41,-9.99
830,0.51,-1.06,-10.09
840,0.78,-1.52,-10.13
850,1.04,-1.69,-10.16
860,1.24,-1.51,-10.31
870,1.31,-1.36,-10.47
880,1.29,-1.36,-10.36
890,1.37,-1.26,-10.51
900,1.22,-1.38,-9.86
910,1.17,-1.5,-9.08
920,1.34,-1.44,-9.28
930,1.36,-1.24,-9.49
940,1.41,-1.09,-9.21
950,1.69,-1.01,-9.4
960,1.54,-0.9,-9.74
970,1.09,-0.79,-10.09
980,0.53,-0.97,-9.52
990,1.11,-1.06,-9.34
1000,1.24,-1.13,-9.56
