timestamp,x,y,z
0,3.65,-8.97,-0.34
10,3.79,-9.29,-0.42
20,3.64,-9.53,-0.47
30,3.68,-9.51,-0.65
40,3.78,-9.49,-0.55
50,3.59,-9.53,-0.59
60,3.6,-9.5,-0.56
70,3.75,-9.51,-0.5
80,3.78,-9.51,-0.44
90,3.77,-9.43,-0.34
100,3.73,-9.32,-0.22
110,3.73,-9.23,-0.21
120,3.88,-9.18,-0.3
130,4.09,-9.25,-0.34
140,4.27,-9.31,-0.29
150,4.46,-9.34,-0.36
160,4.56,-9.31,-0.29
170,4.54,-9.17,-0.35
180,4.43,-9.13,-0.35
190,4.36,-8.88,-0.05
200,4.14,-8.74,0.06
210,4.05,-8.72,-0.01
220,3.88,-8.87,-0.01
230,3.9,-9.06,-0.04
240,3.53,-9.18,-0.29
250,3.88,-9.01,-0.48
260,3.62,-8.7,-0.75
270,3.74,-8.63,-0.73
280,3.73,-8.66,-0.78
290,4.18,-8.61,-0.79
300,4.26,-8.53,-0.81
310,4.31,-8.54,-0.79
320,4.23,-8.56,-0.82
330,4.21,-8.59,-0.92
340,4.14,-8.41,-1.03
350,4.14,-8.12,-0.98
360,4.2,-7.81,-0.77
370,4.32,-7.61,-0.51
380,4.43,-7.46,-0.22
390,4.44,-7.27,-0.04
400,4.3,-7.17,0.15
410,4.18,-7.12,0.23
420,4.23,-6.95,-0.01
430,4.12,-6.8,-0.39
440,4.29,-6.73,-0.76
450,4.61,-6.61,-0.96
460,5.16,-6.6,-1.24
470,5.4,-6.47,-1.5
480,5.56,-6.29,-1.45
490,5.75,-6.07,-1.3
500,6.19,-5.9,-1.09
510,6.96,-5.8,-1.09
520,7.89,-5.88,-1.27
530,8.32,-6.26,-1.38
540,9.01,-6.5,-1.53
550,9.49,-6.46,-1.57
560,9.84,-6.35,-1.61
570,10.03,-6.37,-1.45
580,10.29,-6.39,-1.42
590,10.56,-6.41,-1.7
600,10.8,-6.34,-1.93
610,11.02,-6.18,-1.93
620,11.27,-5.97,-1.81
630,11.28,-5.61,-1.58
640,11.21,-5.32,-1.42
650,10.99,-4.8,-1.32
660,10.65,-3.88,-1.09
670,10.53,-2.79,-1.15
680,10.61,-1.72,-1.03
690,10.58,-0.88,-1.04
700,10.14,-0.09,-0.65
710,9.33,0.83,-0.36
720,8.43,1.65,-0.52
730,7.67,2.68,-1.41
740,7.77,3.9,-1.84
750,8.46,4.85,-2.15
760,9.14,5.64,-2.24
770,9.55,6.11,-2.34
780,10.3,5.96,-2.36
790,11.33,5.59,-2.43
800,11.88,5.32,-2.4
810,12.62,5.27,-2.26
820,13.14,5.04,-2.08
830,13.33,4.85,-1.65
840,13.08,4.78,-1.25
850,13.02,4.3,-1.01
860,11.74,4.67,-0.74
870,10.61,4.95,-0.79
880,9.99,4.99,-1.01
890,9.79,5.03,-1.25
900,9.64,5.17,-1.65
910,9.32,5.36,-2.02
920,9.0,5.44,-2.16
930,8.83,5.5,-2.2
940,8.77,5.53,-2.31
950,8.75,5.54,-2.45
960,8.82,5.62,-2.49
970,9.11,5.73,-2.43
980,9.55,5.88,-2.43
990,9.99,5.91,-2.35
1000,10.35,5.86,-2.1
